# File: D:\MyProject\SDHCAL_DAQ\PCB&Schematic\SDHCalFEB\Capture\Pad30x30V2.csv
# Generated on: Wednesday Dec 05 09:44:16 2018

Pin Number, Signal Name, Direction, IO Standard, Drive (mA), Slew Rate, Termination, IOB Delay, Diff Type, Diff Pair, Swap Group
F2,GEM_OUT_A<48>,OUTPUT,,,,,,,,
F3,GEM_OUT_A<49>,OUTPUT,,,,,,,,
F4,GEM_OUT_A<45>,OUTPUT,,,,,,,,
F5,GEM_OUT_A<42>,OUTPUT,,,,,,,,
F6,GEM_OUT_A<50>,OUTPUT,,,,,,,,
F7,GEM_OUT_A<44>,OUTPUT,,,,,,,,
F8,GEM_OUT_A<41>,OUTPUT,,,,,,,,
G1,GEM_OUT_A<61>,OUTPUT,,,,,,,,
G2,GEM_OUT_A<62>,OUTPUT,,,,,,,,
G3,GEM_OUT_A<63>,OUTPUT,,,,,,,,
G4,GEM_OUT_A<64>,OUTPUT,,,,,,,,
G5,GEM_OUT_A<56>,OUTPUT,,,,,,,,
G6,GEM_OUT_A<53>,OUTPUT,,,,,,,,
G7,GEM_OUT_A<46>,OUTPUT,,,,,,,,
G8,GEM_OUT_A<43>,OUTPUT,,,,,,,,
H1,GEM_OUT_A<60>,OUTPUT,,,,,,,,
H2,GEM_OUT_A<59>,OUTPUT,,,,,,,,
H3,GEM_OUT_A<58>,OUTPUT,,,,,,,,
H4,GEM_OUT_A<57>,OUTPUT,,,,,,,,
H5,GEM_OUT_A<55>,OUTPUT,,,,,,,,
H6,GEM_OUT_A<54>,OUTPUT,,,,,,,,
H7,GEM_OUT_A<52>,OUTPUT,,,,,,,,
H8,GEM_OUT_A<51>,OUTPUT,,,,,,,,
J9,GEM_OUT_F<2>,OUTPUT,,,,,,,,
J10,GEM_SIGNAL_J10,OUTPUT,,,,,,,,
J11,GEM_OUT_F<6>,OUTPUT,,,,,,,,
J12,GEM_OUT_F<8>,OUTPUT,,,,,,,,
J13,GEM_OUT_F<10>,OUTPUT,,,,,,,,
J14,GEM_OUT_F<11>,OUTPUT,,,,,,,,
J15,GEM_OUT_F<13>,OUTPUT,,,,,,,,
J16,GEM_OUT_F<14>,OUTPUT,,,,,,,,
K9,GEM_OUT_F<1>,OUTPUT,,,,,,,,
K10,GEM_OUT_F<3>,OUTPUT,,,,,,,,
K11,GEM_OUT_F<5>,OUTPUT,,,,,,,,
K12,GEM_OUT_F<7>,OUTPUT,,,,,,,,
K13,GEM_OUT_F<9>,OUTPUT,,,,,,,,
K14,GEM_OUT_F<12>,OUTPUT,,,,,,,,
K15,GEM_OUT_F<16>,OUTPUT,,,,,,,,
K16,GEM_OUT_F<17>,OUTPUT,,,,,,,,
L9,GEM_OUT_F<24>,OUTPUT,,,,,,,,
L10,GEM_OUT_F<23>,OUTPUT,,,,,,,,
L11,GEM_OUT_F<22>,OUTPUT,,,,,,,,
L12,GEM_OUT_F<21>,OUTPUT,,,,,,,,
L13,GEM_OUT_F<18>,OUTPUT,,,,,,,,
L14,GEM_OUT_F<15>,OUTPUT,,,,,,,,
L15,GEM_OUT_F<19>,OUTPUT,,,,,,,,
L16,GEM_OUT_F<20>,OUTPUT,,,,,,,,
M9,GEM_OUT_F<29>,OUTPUT,,,,,,,,
M10,GEM_OUT_F<28>,OUTPUT,,,,,,,,
M11,GEM_OUT_F<27>,OUTPUT,,,,,,,,
M12,GEM_OUT_F<31>,OUTPUT,,,,,,,,
M13,GEM_OUT_F<25>,OUTPUT,,,,,,,,
M14,GEM_OUT_F<26>,OUTPUT,,,,,,,,
M15,GEM_OUT_F<30>,OUTPUT,,,,,,,,
M16,GEM_OUT_F<32>,OUTPUT,,,,,,,,
N9,GEM_OUT_F<37>,OUTPUT,,,,,,,,
N10,GEM_OUT_F<38>,OUTPUT,,,,,,,,
N11,GEM_OUT_F<39>,OUTPUT,,,,,,,,
N12,GEM_OUT_F<36>,OUTPUT,,,,,,,,
N13,GEM_OUT_F<34>,OUTPUT,,,,,,,,
N14,GEM_OUT_F<40>,OUTPUT,,,,,,,,
N15,GEM_OUT_F<35>,OUTPUT,,,,,,,,
N16,GEM_OUT_F<33>,OUTPUT,,,,,,,,
P9,GEM_OUT_F<47>,OUTPUT,,,,,,,,
P10,GEM_OUT_F<48>,OUTPUT,,,,,,,,
P11,GEM_OUT_F<49>,OUTPUT,,,,,,,,
P12,GEM_OUT_F<45>,OUTPUT,,,,,,,,
P13,GEM_OUT_F<42>,OUTPUT,,,,,,,,
P14,GEM_OUT_F<50>,OUTPUT,,,,,,,,
P15,GEM_OUT_F<44>,OUTPUT,,,,,,,,
P16,GEM_OUT_F<41>,OUTPUT,,,,,,,,
Q9,GEM_OUT_F<61>,OUTPUT,,,,,,,,
Q10,GEM_OUT_F<62>,OUTPUT,,,,,,,,
Q11,GEM_OUT_F<63>,OUTPUT,,,,,,,,
Q12,GEM_OUT_F<64>,OUTPUT,,,,,,,,
Q13,GEM_OUT_F<56>,OUTPUT,,,,,,,,
Q14,GEM_OUT_F<53>,OUTPUT,,,,,,,,
Q15,GEM_OUT_F<46>,OUTPUT,,,,,,,,
Q16,GEM_OUT_F<43>,OUTPUT,,,,,,,,
R9,GEM_OUT_F<60>,OUTPUT,,,,,,,,
R10,GEM_OUT_F<59>,OUTPUT,,,,,,,,
R11,GEM_OUT_F<58>,OUTPUT,,,,,,,,
R12,GEM_OUT_F<57>,OUTPUT,,,,,,,,
R13,GEM_OUT_F<55>,OUTPUT,,,,,,,,
R14,GEM_OUT_F<54>,OUTPUT,,,,,,,,
R15,GEM_OUT_F<52>,OUTPUT,,,,,,,,
R16,GEM_OUT_F<51>,OUTPUT,,,,,,,,
J25,GEM_OUT_H<2>,OUTPUT,,,,,,,,
J26,GEM_SIGNAL_J26,OUTPUT,,,,,,,,
J27,GEM_OUT_H<6>,OUTPUT,,,,,,,,
J28,GEM_OUT_H<8>,OUTPUT,,,,,,,,
J29,GEM_OUT_H<10>,OUTPUT,,,,,,,,
J30,GEM_OUT_H<11>,OUTPUT,,,,,,,,
K25,GEM_OUT_H<1>,OUTPUT,,,,,,,,
K26,GEM_OUT_H<3>,OUTPUT,,,,,,,,
K27,GEM_OUT_H<5>,OUTPUT,,,,,,,,
K28,GEM_OUT_H<7>,OUTPUT,,,,,,,,
K29,GEM_OUT_H<9>,OUTPUT,,,,,,,,
K30,GEM_OUT_H<12>,OUTPUT,,,,,,,,
L25,GEM_OUT_H<24>,OUTPUT,,,,,,,,
L26,GEM_OUT_H<23>,OUTPUT,,,,,,,,
L27,GEM_OUT_H<22>,OUTPUT,,,,,,,,
L28,GEM_OUT_H<21>,OUTPUT,,,,,,,,
